time(sec),x,z
0,0,0
0.02,0,0
0.3533334,0,0
0.373213,0,0
0.390432,0,0
0.5091622,0,0
0.5260104,0,0
0.5431569,0,0
0.6069179,0,0
0.6923323,0,0
0.7683676,0,0
0.8370404,0,0
0.9042835,0,0
0.9823379,0,0.3999956
1.109374,0,0.9998686
1.180891,0,1.399604
1.248239,0,1.699604
1.317659,0,1.999604
1.334507,0,2.099604
1.385237,0,2.399604
1.451998,0,2.699604
1.535626,-3.954729E-08,3.065824
1.591865,-1.504304E-05,3.365706
1.660834,-1.504304E-05,3.765707
1.788579,-1.504304E-05,4.365706
1.862068,0.01204503,4.765654
1.933538,0.2066428,4.750168
2.002689,0.6423967,4.607321
2.019565,0.7179604,4.564569
2.073607,1.015637,4.320923
2.159124,1.330425,3.757677
2.22798,1.374414,3.239248
2.296774,1.338567,3.040017
2.353401,1.311332,2.94748
2.424771,1.236784,2.767061
2.4906,1.174537,2.655454
2.560435,1.198036,2.694797
2.627991,1.198036,2.694797
2.695258,1.198036,2.694797
2.764404,1.198036,2.694797
2.836917,1.201627,2.701079
2.91012,1.199237,2.696888
2.985415,1.201627,2.701078
3.061193,1.555315,2.51398
3.200521,2.169294,2.177765
3.275153,2.431933,2.03278
3.353086,2.77978,1.835248
3.43315,3.122686,1.634533
3.450262,3.208694,1.583521
3.516591,3.467721,1.432208
3.597695,3.815505,1.23485
3.675844,4.163304,1.037439
3.762903,4.577296,0.7552233
3.851052,4.899863,0.516849
3.930815,5.234781,0.2981393
4.017126,5.516822,0.003779888
4.100687,5.782693,-0.4501131
4.186914,6.005829,-0.78864
4.272511,6.123182,-1.201763
4.35569,6.173292,-1.632156
4.442231,6.193052,-2.159
4.614608,5.945166,-2.981522
4.749249,5.595365,-2.915426
4.799208,5.460407,-2.86335
4.890766,5.130857,-2.655821
4.90782,5.091054,-2.620731
4.983265,4.824271,-2.286538
5.068593,4.68981,-1.959502
5.149064,4.683771,-1.93615
5.230531,4.659359,-1.815623
